Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T00:11:36:000,101049.055,-0.006,52.330,25.610
0000-00-00T00:11:36:071,101049.594,-0.050,52.330,25.630
0000-00-00T00:11:36:141,101050.195,-0.101,52.380,25.620
0000-00-00T00:11:36:214,101051.141,-0.180,52.440,25.630
0000-00-00T00:11:36:284,101052.070,-0.257,52.470,25.620
0000-00-00T00:11:36:355,101051.547,-0.213,52.510,25.620
0000-00-00T00:11:36:425,101052.305,-0.278,52.550,25.630
0000-00-00T00:11:36:495,101051.586,-0.217,52.620,25.630
0000-00-00T00:11:36:565,101051.430,-0.204,52.700,25.620
0000-00-00T00:11:36:636,101050.797,-0.151,52.750,25.630
0000-00-00T00:11:36:706,101049.578,-0.049,52.820,25.620
0000-00-00T00:11:36:782,101048.742,0.021,52.900,25.620
0000-00-00T00:11:36:855,101050.438,-0.122,52.970,25.610
0000-00-00T00:11:36:926,101050.383,-0.117,53.030,25.620
0000-00-00T00:11:37:000,101049.836,-0.070,53.060,25.610
0000-00-00T00:11:37:070,101049.711,-0.060,53.160,25.630
0000-00-00T00:11:37:141,101050.953,-0.164,53.170,25.610
0000-00-00T00:11:37:211,101050.438,-0.122,53.210,25.620
0000-00-00T00:11:37:281,101050.086,-0.092,53.230,25.630
0000-00-00T00:11:37:351,101049.117,-0.011,53.250,25.590
0000-00-00T00:11:37:422,101047.945,0.087,53.270,25.630
0000-00-00T00:11:37:495,101047.422,0.130,53.270,25.610
0000-00-00T00:11:37:565,101048.664,0.027,53.220,25.610
0000-00-00T00:11:37:635,101049.492,-0.042,53.230,25.620
0000-00-00T00:11:37:705,101050.484,-0.125,53.160,25.620
0000-00-00T00:11:37:776,101050.414,-0.120,53.110,25.610
0000-00-00T00:11:37:846,101049.344,-0.029,53.050,25.620
0000-00-00T00:11:37:916,101049.938,-0.079,52.970,25.620
0000-00-00T00:11:38:000,101050.352,-0.114,52.920,25.610
0000-00-00T00:11:38:071,101050.969,-0.166,52.820,25.630
0000-00-00T00:11:38:144,101050.516,-0.128,52.760,25.610
0000-00-00T00:11:38:214,101050.148,-0.097,52.700,25.620
0000-00-00T00:11:38:284,101049.531,-0.045,52.650,25.620
0000-00-00T00:11:38:355,101049.664,-0.056,52.520,25.630
