Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T99:99:99:000,101306.000,0.044,48.460,27.270
0000-00-00T23:59:45:000,101306.906,-0.032,48.370,27.270
0000-00-00T23:59:45:074,101307.422,-0.074,48.300,27.280
0000-00-00T23:59:47:000,101307.891,-0.114,48.260,27.270
0000-00-00T23:59:47:075,101306.586,-0.005,48.140,27.300
0000-00-00T23:59:47:149,101307.141,-0.051,48.100,27.300
0000-00-00T23:59:47:224,101306.422,0.009,48.090,27.300
0000-00-00T23:59:47:298,101305.648,0.073,48.110,27.280
0000-00-00T23:59:47:376,101305.688,0.069,48.050,27.300
0000-00-00T23:59:47:450,101305.977,0.046,48.030,27.300
0000-00-00T23:59:47:525,101305.336,0.099,48.050,27.310
0000-00-00T23:59:47:599,101304.672,0.154,48.040,27.300
0000-00-00T23:59:47:674,101304.797,0.144,48.040,27.280
0000-00-00T23:59:47:748,101304.148,0.198,48.060,27.280
0000-00-00T23:59:47:823,101305.047,0.123,48.080,27.300
0000-00-00T23:59:47:898,101303.961,0.214,48.080,27.280
0000-00-00T23:59:48:000,101304.797,0.144,48.040,27.300
0000-00-00T23:59:48:077,101304.766,0.146,48.070,27.270
0000-00-00T23:59:48:152,101305.117,0.117,47.960,27.250
0000-00-00T23:59:48:235,101306.258,0.022,47.940,27.240
0000-00-00T23:59:48:310,101305.484,0.086,47.860,27.270
0000-00-00T23:59:48:385,101304.930,0.133,47.800,27.250
0000-00-00T23:59:48:459,101304.297,0.186,47.700,27.280
0000-00-00T23:59:48:534,101304.469,0.171,47.660,27.270
0000-00-00T23:59:48:608,101304.734,0.149,47.570,27.270
0000-00-00T23:59:48:683,101305.086,0.120,47.490,27.270
0000-00-00T23:59:48:760,101305.211,0.109,47.400,27.270
0000-00-00T23:59:48:834,101304.273,0.188,47.340,27.250
0000-00-00T23:59:48:909,101304.164,0.197,47.210,27.300
0000-00-00T23:59:49:000,101304.383,0.179,47.170,27.270
0000-00-00T23:59:49:075,101304.383,0.179,47.090,27.270
